author_id,in_ukraine_2022,language
A38,1,Russian
A19,1,Ukrainian
A15,0,Ukrainian
A60,1,Ukrainian
A41,1,Ukrainian
A09,0,Ukrainian
A00,1,Ukrainian
A31,1,Ukrainian
A89,1,Russian
A84,0,Russian
A77,0,Ukrainian
A93,1,Ukrainian
A96,1,Ukrainian
A69,0,Ukrainian
A37,1,Ukrainian
A40,1,Ukrainian
A30,1,Ukrainian
A22,0,Ukrainian
A59,1,Russian
A20,1,Ukrainian
A10,1,Russian
A74,1,Ukrainian
A54,1,Ukrainian
A45,1,Ukrainian
A33,1,Ukrainian
A32,1,Russian
A88,1,Ukrainian
A99,1,Ukrainian
A79,1,Ukrainian
A35,0,Ukrainian
