author_id,n_p1,n_p2,total,included
A05,97,61,158,True
A13,96,58,154,True
A14,80,35,115,True
A30,84,13,97,True
A03,72,21,93,True
A25,71,22,93,True
A18,33,36,69,True
A17,53,12,65,True
A33,23,38,61,True
A20,32,28,60,True
A02,36,22,58,True
A01,46,11,57,True
A11,14,43,57,True
A23,33,21,54,True
A09,37,16,53,True
A06,34,17,51,True
A08,20,28,48,True
A10,19,24,43,True
A26,27,14,41,True
A07,9,29,38,True
A15,26,12,38,True
A19,18,20,38,True
A21,28,6,34,True
A12,13,20,33,True
A28,15,17,32,True
A24,10,21,31,True
A29,17,14,31,True
A22,15,11,26,True
A16,11,13,24,True
A32,11,13,24,True
A27,16,7,23,True
A31,7,14,21,True
A04,8,11,19,True
